"Date","Price","Open","High","Low","Change %"
"Mar 07, 2012","148.015","147.940","148.015","147.900","0.04%"
"Mar 06, 2012","147.955","147.950","148.245","147.880","0.01%"
"Mar 05, 2012","147.935","147.950","148.025","147.840","0.03%"
"Mar 02, 2012","147.885","147.850","147.925","147.830","0.00%"
"Mar 01, 2012","147.880","147.660","147.920","147.660","0.11%"
"Feb 29, 2012","147.715","147.700","147.765","147.640","0.00%"
"Feb 28, 2012","147.710","147.620","147.730","147.600","0.05%"
"Feb 27, 2012","147.635","147.640","147.665","147.570","0.01%"
"Feb 24, 2012","147.620","147.570","147.670","147.500","-0.12%"
"Feb 23, 2012","147.790","147.860","147.890","147.700","-0.08%"
"Feb 22, 2012","147.910","148.000","148.050","147.860","-0.07%"
"Feb 21, 2012","148.015","148.000","148.075","147.950","-0.02%"
"Feb 20, 2012","148.050","148.000","148.170","148.000","-0.02%"
"Feb 17, 2012","148.080","148.200","148.310","148.030","-0.08%"
"Feb 16, 2012","148.200","148.200","148.250","147.980","0.01%"
